checked_at_utc,Town,Field,Original URL,OK,Status,Final URL,Soft404,Elapsed ms,Error
2026-01-20T16:24:11.719710+00:00,Bethel,Application Form URL,https://bethel-ct.gov/vertical/sites/%7B90B1B948-C443-4CA6-8B88-90B1EEA9B1E2%7D/uploads/Employment-App.pdf,True,200,https://bethel-ct.gov/vertical/sites/%7B90B1B948-C443-4CA6-8B88-90B1EEA9B1E2%7D/uploads/Employment-App.pdf,False,4879,
2026-01-20T16:24:11.719710+00:00,Bethel,Employment Page URL,https://bethel-ct.gov/Employment,True,200,https://bethel-ct.gov/Employment,False,4916,
2026-01-20T16:24:11.719710+00:00,Beacon Falls,Application Form URL,https://www.beaconfalls-ct.org/sites/g/files/vyhlif4141/f/pages/town_of_beacon_falls_employment_application.docx,False,404,https://www.beaconfalls-ct.org/sites/g/files/vyhlif4141/f/pages/town_of_beacon_falls_employment_application.docx,False,5191,
2026-01-20T16:24:11.719710+00:00,Andover,Employment Page URL,https://www.andoverconnecticut.org/employment-volunteer-opportunities,False,403,https://www.andoverconnecticut.org/employment-volunteer-opportunities,False,5339,
2026-01-20T16:24:11.719710+00:00,Andover,Application Form URL,https://www.andoverconnecticut.org/employment-volunteer-opportunities/files/employment-application-revised-111620,False,403,https://www.andoverconnecticut.org/employment-volunteer-opportunities/files/employment-application-revised-111620,False,5351,
2026-01-20T16:24:11.719710+00:00,Berlin,Employment Page URL,https://www.berlinct.gov/egov/apps/services/index.egov?view=detail;id=61,True,200,https://www.berlinct.gov/egov/apps/services/index.egov?view=detail;id=61,False,5492,
2026-01-20T16:24:11.719710+00:00,Bethlehem,Employment Page URL,https://bethlehemct.org/employment,True,200,https://bethlehemct.org/employment,False,5688,
2026-01-20T16:24:11.719710+00:00,Avon,Employment Page URL,https://www.avonct.gov/departments/human_resources/employment_opportunities/employment.php,True,200,https://www.avonct.gov/departments/human_resources/employment_opportunities/employment.php,False,5773,
2026-01-20T16:24:11.719710+00:00,Bethany,Employment Page URL,https://bethany-ct.com/employment,True,200,https://bethany-ct.com/employment,False,5803,
2026-01-20T16:24:11.719710+00:00,Ansonia,Application Form URL,https://www.cityofansonia.com/filestorage/8192/8194/8240/Job_Application.pdf,True,200,https://www.cityofansonia.com/filestorage/8192/8194/8240/Job_Application.pdf,False,5833,
2026-01-20T16:24:11.719710+00:00,Bolton,Employment Page URL,https://www.boltonct.gov/employment,False,200,https://www.boltonct.gov/employment,True,5884,
2026-01-20T16:24:11.719710+00:00,Bolton,Application Form URL,https://files.aptuitivcdn.com/EzoynNLyL2-1704/docs/employment/Bolton_Employment_Application_2020_Fillable.pdf,True,200,https://files.aptuitivcdn.com/EzoynNLyL2-1704/docs/employment/Bolton_Employment_Application_2020_Fillable.pdf,False,5887,
2026-01-20T16:24:11.719710+00:00,Berlin,Application Form URL,https://www.berlinct.gov/egov/apps/document/center.egov?view=item&id=8426,True,200,https://www.berlinct.gov/egov/documents/1643041452_69912.pdf,False,5969,
2026-01-20T16:24:11.719710+00:00,Ashford,Application Form URL,https://ct-ashford.civicplus.com/DocumentCenter/View/621/Ashford-Employment-Application-PDF,True,200,https://ct-ashford.civicplus.com/DocumentCenter/View/621/Ashford-Employment-Application-PDF,False,6003,
2026-01-20T16:24:11.719710+00:00,Bloomfield,Employment Page URL,https://www.governmentjobs.com/careers/bloomfieldct,True,200,https://www.governmentjobs.com/careers/bloomfieldct,False,5991,
2026-01-20T16:24:11.719710+00:00,Beacon Falls,Employment Page URL,https://www.beaconfalls-ct.org/beacon-falls-town-hall/pages/employment-opportunities-0,False,404,https://www.beaconfalls-ct.org/beacon-falls-town-hall/pages/employment-opportunities-0,False,6049,
2026-01-20T16:24:11.719710+00:00,Barkhamsted,Employment Page URL,https://www.barkhamsted.us/job-postings,True,200,https://www.barkhamsted.us/job-postings,False,6058,
2026-01-20T16:24:11.719710+00:00,Bethlehem,Application Form URL,https://bethlehemct.org/vertical/sites/%7B5308EA3E-1589-494E-AA0B-0BABEF8025FD%7D/uploads/2024_Employment_Application.pdf,True,200,https://bethlehemct.org/vertical/sites/%7B5308EA3E-1589-494E-AA0B-0BABEF8025FD%7D/uploads/2024_Employment_Application.pdf,False,6211,
2026-01-20T16:24:11.719710+00:00,Ashford,Employment Page URL,https://ashfordtownhall.org/jobs.aspx,True,200,https://ashfordtownhall.org/jobs.aspx,False,6328,
2026-01-20T16:24:11.719710+00:00,Bozrah,Employment Page URL,https://www.townofbozrah.org/Jobs.aspx,True,200,https://www.townofbozrah.org/Jobs.aspx,False,5763,
2026-01-20T16:24:11.719710+00:00,Bozrah,Application Form URL,https://www.townofbozrah.org/135/Employment-Opportunities,True,200,https://www.townofbozrah.org/DocumentCenter/View/167/Employment-Application-PDF,False,5870,
2026-01-20T16:24:11.719710+00:00,Bridgeport,Employment Page URL,https://www.bridgeportct.gov/government/departments/civil-service/city-careers,True,200,https://www.bridgeportct.gov/government/departments/civil-service/city-careers,False,6206,
2026-01-20T16:24:11.719710+00:00,Branford,Employment Page URL,https://www.branford-ct.gov/273/Employment-Opportunities,True,200,https://www.branford-ct.gov/273/Employment-Opportunities,False,6375,
2026-01-20T16:24:11.719710+00:00,Branford,Application Form URL,https://www.branford-ct.gov/DocumentCenter/View/1839/Employment-Application-2025-PDF,True,200,https://www.branford-ct.gov/DocumentCenter/View/1839/Employment-Application-2025-PDF,False,6377,
2026-01-20T16:24:11.719710+00:00,Brooklyn,Employment Page URL,https://www.brooklynct.org/home/pages/employment-opportunities,False,403,https://www.brooklynct.org/home/pages/employment-opportunities,False,7000,
2026-01-20T16:24:11.719710+00:00,Bridgewater,Employment Page URL,https://www.bridgewater-ct.gov/1323/Employment-Opportunities,True,200,https://www.bridgewater-ct.gov/1323/Employment-Opportunities,False,7421,
2026-01-20T16:24:11.719710+00:00,Bristol,Employment Page URL,https://www.applitrack.com/bristolct/onlineapp/default.asp,True,200,https://www.applitrack.com/bristolct/onlineapp/default.asp,False,7234,
2026-01-20T16:24:11.719710+00:00,Brookfield,Employment Page URL,https://www.brookfieldct.gov/human-resources/pages/job-opportunities,False,404,https://www.brookfieldct.gov/human-resources/pages/job-opportunities,False,7261,
2026-01-20T16:24:11.719710+00:00,Avon,Application Form URL,https://www.avonct.gov/Documents/Departments/Human%20Resources/Employment/employment_application_fillable_9-2021.pdf?t=202507101201100,True,200,https://cms2.revize.com/revize/avonct/Documents/Departments/Human%20Resources/Employment/employment_application_fillable_9-2021.pdf?t=202507101201100&t=202507101201100,False,13328,
2026-01-20T16:24:11.719710+00:00,Canton,Application Form URL,https://www.townofcantonct.org/filestorage/19342/19345/19524/19526/NEW_Employment_Application_Fillable_12-29-16.pdf,True,200,https://www.townofcantonct.org/filestorage/19342/19345/19524/19526/NEW_Employment_Application_Fillable_12-29-16.pdf,False,7266,
2026-01-20T16:24:11.719710+00:00,Canterbury,Employment Page URL,https://www.canterburyct.org/jobs,False,403,https://www.canterburyct.org/jobs,False,7300,
2026-01-20T16:24:11.719710+00:00,Burlington,Application Form URL,https://www.burlingtonct.gov/DocumentCenter/View/162/Employment-Application-PDF,True,200,https://www.burlingtonct.gov/DocumentCenter/View/162/Employment-Application-PDF,False,7395,
2026-01-20T16:24:11.719710+00:00,Chaplin,Employment Page URL,https://www.chaplinct.org/jobs.htm,True,200,https://www.chaplinct.org/jobs.htm,False,7198,
2026-01-20T16:24:11.719710+00:00,Chaplin,Application Form URL,https://www.chaplinct.org/images/Employment%20application%20MASTER2.pdf,True,200,https://www.chaplinct.org/images/Employment%20application%20MASTER2.pdf,False,7132,
2026-01-20T16:24:11.719710+00:00,Burlington,Employment Page URL,https://www.burlingtonct.gov/Jobs.aspx,True,200,https://www.burlingtonct.gov/Jobs.aspx,False,7635,
2026-01-20T16:24:11.719710+00:00,Canton,Employment Page URL,https://www.townofcantonct.org/employment-opportunities,True,200,https://www.townofcantonct.org/employment-opportunities,False,7624,
2026-01-20T16:24:11.719710+00:00,Canaan,Employment Page URL,https://www.canaanfallsvillage.org/job-openings,True,200,https://www.canaanfallsvillage.org/job-openings,False,8177,
2026-01-20T16:24:11.719710+00:00,Cheshire,Employment Page URL,https://www.cheshirect.gov/Jobs.aspx,True,200,https://www.cheshirect.gov/Jobs.aspx,False,6156,
2026-01-20T16:24:11.719710+00:00,Cheshire,Application Form URL,https://www.cheshirect.gov/DocumentCenter/View/580/Application-for-Employment-PDF,True,200,https://www.cheshirect.gov/DocumentCenter/View/580/Application-for-Employment-PDF,False,6580,
2026-01-20T16:24:11.719710+00:00,Chester,Employment Page URL,https://www.chesterct.org/about-chester/pages/employment,False,403,https://www.chesterct.org/about-chester/pages/employment,False,6131,
2026-01-20T16:24:11.719710+00:00,Chester,Application Form URL,https://www.chesterct.org/sites/g/files/vyhlif8561/f/pages/employment_application_-_town_of_chester_revised_4_2_2024.pdf,True,200,https://www.chesterct.org/sites/g/files/vyhlif8561/f/pages/employment_application_-_town_of_chester_revised_4_2_2024.pdf,False,6555,
2026-01-20T16:24:11.719710+00:00,Colchester,Employment Page URL,https://www.colchesterct.gov/human-resources/pages/employment-opportunities,True,200,https://www.colchesterct.gov/human-resources/pages/employment-opportunities,False,5796,
2026-01-20T16:24:11.719710+00:00,Clinton,Employment Page URL,https://clintonct.org/Jobs.aspx,True,200,https://clintonct.org/Jobs.aspx,False,7096,
2026-01-20T16:24:11.719710+00:00,Clinton,Application Form URL,https://clintonct.org/DocumentCenter/View/11244/EMPLOYMENT-APPLICATION-REVISED-122020-Text-Fillable,True,200,https://clintonct.org/DocumentCenter/View/11244/EMPLOYMENT-APPLICATION-REVISED-122020-Text-Fillable,False,6469,
2026-01-20T16:24:11.719710+00:00,Colchester,Application Form URL,https://www.colchesterct.gov/doing-business-colchester/files/job-application-revised-2025,True,200,https://www.colchesterct.gov/sites/g/files/vyhlif16021/f/uploads/townapplication2025_revised.pdf,False,6362,
2026-01-20T16:24:11.719710+00:00,Columbia,Employment Page URL,https://www.columbiact.gov/jobs,True,200,https://www.columbiact.gov/jobs,False,6311,
2026-01-20T16:24:11.719710+00:00,Cromwell,Employment Page URL,https://www.cromwellct.com/human-resources/pages/current-employment-opportunities,False,403,https://www.cromwellct.com/human-resources/pages/current-employment-opportunities,False,6177,
2026-01-20T16:24:11.719710+00:00,Columbia,Application Form URL,https://www.columbiact.gov/media/27536,True,200,https://www.columbiact.gov/media/27536,False,6361,
2026-01-20T16:24:11.719710+00:00,Cromwell,Application Form URL,https://www.cromwellct.com/human-resources/files/town-cromwell-application-0,False,403,https://www.cromwellct.com/human-resources/files/town-cromwell-application-0,False,6278,
2026-01-20T16:24:11.719710+00:00,Coventry,Employment Page URL,https://www.coventry-ct.gov/Jobs.aspx,True,200,https://www.coventry-ct.gov/Jobs.aspx,False,6812,
2026-01-20T16:24:11.719710+00:00,Danbury,Employment Page URL,https://www.governmentjobs.com/careers/danburyct,True,200,https://www.governmentjobs.com/careers/danburyct,False,6561,
2026-01-20T16:24:11.719710+00:00,Coventry,Application Form URL,https://www.coventry-ct.gov/DocumentCenter/View/272,True,200,https://www.coventry-ct.gov/DocumentCenter/View/272/Job-Application-Form?bidId=,False,6915,
2026-01-20T16:24:11.719710+00:00,Cornwall,Application Form URL,https://cornwallct.org/wp-content/uploads/2025/04/Town-of-Cornwall-Job-Application.pdf,True,200,https://cornwallct.org/wp-content/uploads/2025/04/Town-of-Cornwall-Job-Application.pdf,False,7020,
2026-01-20T16:24:11.719710+00:00,Darien,Employment Page URL,https://www.darienct.gov/Jobs.aspx,True,200,https://www.darienct.gov/Jobs.aspx,False,6915,
2026-01-20T16:24:11.719710+00:00,Cornwall,Employment Page URL,https://cornwallct.org/employment-and-board-vacancies/,True,200,https://cornwallct.org/employment-and-board-vacancies/,False,8133,
2026-01-20T16:24:11.719710+00:00,Darien,Application Form URL,https://ct-darien.civicplus.com/DocumentCenter/View/491/Employment-Application-PDF,True,200,https://ct-darien.civicplus.com/DocumentCenter/View/491/Employment-Application-PDF,False,6112,
2026-01-20T16:24:11.719710+00:00,Deep River,Application Form URL,https://www.deepriverct.us/selectmens-office/files/employment-application-0,False,403,https://www.deepriverct.us/selectmens-office/files/employment-application-0,False,5877,
